token_address,approval_block,attack_block,usd_loss,attack_hash,approval_hash,malicious_contract
0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,264477049,264477049,-10136727.9658146,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0x912CE59144191C1204E64559FE8253a0e49E6548,264477049,264477049,-2173377.6102057295,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,264477049,264477049,-92227.44788095073,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,264477049,264477049,-6136658.478646655,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,264477049,264477049,-2683461.803419699,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0xaf88d065e77c8cC2239327C5EDb3A432268e5831,264477049,264477049,-481392.512285,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,264477049,264477049,,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0x5979D7b546E38E414F7E9822514be443A4800529,264477049,264477049,,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,264477049,264477049,-191098.89854,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,264477049,264477049,-44358.065232768415,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x7856552db409fe51e17339ab1e0e1ce9c85d68bf0f4de4c110fc4e372ea02fb1,0x57ba8957ed2ff2e7ae38f4935451e81ce1eefbf5
0xdAC17F958D2ee523a2206206994597C13D831ec7,21895238,21895246,-90.0,0x25800d105db4f21908d646a7a3db849343737c5fba0bc5701f782bf0e75217c9,0x46deef0f52e3a983b67abf4714448a41dd7ffd6d32d32da69d62081c68ad7882,0xbdd077f651ebe7f7b3ce16fe5f2b025be2969516
