token_address,approval_block,attack_block,usd_loss,attack_hash,approval_hash,malicious_contract
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,146120108,146120153,-211.0223308578007,0xcae50af016f1e2c363eca5f493acdd8565de04c11cc00a59206ff72e5acae063,0xecf5c3bbc0a226e0903dca5b2a4720cdf2b512a6b526ce0de6a3f21ab1bca567,0x67bda481d5d9795b9e4bcbaa960963634c07c16a
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,164636433,164636489,-82.4826704281281,0x157c58b6ef826fc576e43831957f9b872e064957f852c7554e61925cf27d358b,0x715e15621c20a419498827454ecd952a840c860325c06931fc4430039e48b0a0,0x5c8edfab55afa47d95fe353a6975d66140e102dc
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,164558021,164558092,-42.32406913671835,0x94d2fdefd0b2baa7de917eacbb9522ce66c38c0e9d35cf04df3e922196050006,0x6fbd04d04f5330c04c22549ffc5c8d5092d3baf52a0a80fde16c8f19945a8d3c,0x94fa4040beca416df31b81c029ba3f8c608a4b8e
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,164558021,164558092,-42.32406913671835,0x94d2fdefd0b2baa7de917eacbb9522ce66c38c0e9d35cf04df3e922196050006,0x6fbd04d04f5330c04c22549ffc5c8d5092d3baf52a0a80fde16c8f19945a8d3c,0x94fa4040beca416df31b81c029ba3f8c608a4b8e
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,137745077,137851145,-1723.8733357338635,0xc3b4d066a48f576887c059175618b4f560716226eeaaa4c1dcb36c8cbf4eac78,0x2308ea9a11df8f07ef8696f2c7d22998165d2c5f9e67377b7798a1fab908f038,0x81a4b40829e7a5ccc0f54c2f3fe4943092002390
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,164563124,164563179,-64.0384415029206,0xda6e64b27d8233adbed03153980eb4cf34217e480ed6521ee7713925929d6af1,0x4c2cd1864b831ef33d4375d8c70ef5fb4fad6a7c98ee3b12b9513fb4e5fefa4d,0xa75a6495effe1ba5a8cb5e6390fe1d5f337d86b4
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,164563124,164563179,-64.0384415029206,0xda6e64b27d8233adbed03153980eb4cf34217e480ed6521ee7713925929d6af1,0x4c2cd1864b831ef33d4375d8c70ef5fb4fad6a7c98ee3b12b9513fb4e5fefa4d,0xa75a6495effe1ba5a8cb5e6390fe1d5f337d86b4
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,138938672,138938714,-13.602531018107918,0xb8a9c548a0ec95729303e2e54773c54ed1df693279b3fcae3bf3890755b5f116,0xde8fc8522bf85e1826fee880539c7a419028c65e97599b9bef9e5f2f89b05459,0x16abeecf8d65dc98efe3119e2359d1e20c5f34c3
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,138938672,138938714,-13.602531018107918,0xb8a9c548a0ec95729303e2e54773c54ed1df693279b3fcae3bf3890755b5f116,0xde8fc8522bf85e1826fee880539c7a419028c65e97599b9bef9e5f2f89b05459,0x16abeecf8d65dc98efe3119e2359d1e20c5f34c3
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,166942790,166942846,-413.6999114374175,0x1811db06992e7df267c9b2ff565798c7b257470ae4c47ea1dc3474db780d8239,0xdd08e618999e0751850dc32a0554b6e95ba9dc8e8ee2c6a5ccef100698580c31,0x7e3bf6c2be5a382a34796104ac500a4f506eaafd
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139060459,139060531,-16.048972191907044,0x175c7b4818bf6d713cf2b2b9577c4e40676a7ebdad1e2c80d69866f27b98f465,0xdf2ebcae0ab213e1c930829d0d696edfd3595f1a519d0e1727f1766ca96adc9d,0x2fcf005a57d720759b2ba10b54ee969968e2b89a
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139060459,139060531,-16.048972191907044,0x175c7b4818bf6d713cf2b2b9577c4e40676a7ebdad1e2c80d69866f27b98f465,0xdf2ebcae0ab213e1c930829d0d696edfd3595f1a519d0e1727f1766ca96adc9d,0x2fcf005a57d720759b2ba10b54ee969968e2b89a
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,138765427,138765482,-17.89165083483268,0x49c7ced16a654f8be6cb50ad71af068bf8382ee2f1a0bea8a03ac821d068b471,0x1d2fe6c74452ae5b9a115e1dda2067c17d80b6eff4c24b19a8776f758e0c298c,0x7cf9236154e11b6382768a61951e702863ec6cfa
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,138765427,138765482,-17.89165083483268,0x49c7ced16a654f8be6cb50ad71af068bf8382ee2f1a0bea8a03ac821d068b471,0x1d2fe6c74452ae5b9a115e1dda2067c17d80b6eff4c24b19a8776f758e0c298c,0x7cf9236154e11b6382768a61951e702863ec6cfa
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139612823,139612868,-97.80326468948935,0x1369b2c58cf3d58a701f0212ae6568d90b98865b3990b26061472d046faca714,0xafea3876f978a055381f3021feecad45995e66d7292c0286b1075ada66ed9b4d,0x229c9c5adcdb26098897edd6302eb19e6f1085c7
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139612823,139612868,-97.80326468948935,0x1369b2c58cf3d58a701f0212ae6568d90b98865b3990b26061472d046faca714,0xafea3876f978a055381f3021feecad45995e66d7292c0286b1075ada66ed9b4d,0x229c9c5adcdb26098897edd6302eb19e6f1085c7
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,145110300,145110342,-35.57,0xdb79fe9f026530d797cce88e9b51f0e901c2f84219ed9158bcb4b9df73618a18,0xf94bbec5d4c8bdc30447ee6eecd83a417dd8f1899e3b6696cc3c3199510d1537,0xa13d89c5a3047dc1c68f4db377824c71df910984
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139224474,139224517,-19.743157353727682,0xb34a6034b9ab0171509c158fa9cff9ff3760948c7ac9fe587250b556d96be99b,0x666ac934082348cdd268befb3fdc55a1c368f33493a0f6722cca3e8558740477,0x9dc0e2f074c6429ce7bf44890c6d9e4ce67d6e9a
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,139224474,139224517,-19.743157353727682,0xb34a6034b9ab0171509c158fa9cff9ff3760948c7ac9fe587250b556d96be99b,0x666ac934082348cdd268befb3fdc55a1c368f33493a0f6722cca3e8558740477,0x9dc0e2f074c6429ce7bf44890c6d9e4ce67d6e9a
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,139282152,139282199,-119.36385781065069,0x0662d1446746c7c2778bf6868452c7925caa54f44d7b3c1c42093f7eb06e3480,0xa7d20390a4c5c155ae48e039279f48aad5c9bb3d68ac21ecf7fb03dd7b64e11a,0x9af5506569ad209686fd463a5880bd49cec68e46
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,139428141,139428181,-489.2035118889585,0x66e6aac1eb813a733296d22c2b3e194e37ff7f1e134c259a076366d87a82f6a2,0x91d423809c84853e6b9974ad707f9aa6288973f6e356833bd23aef373e6d3d9e,0xea8991d3ae08665061371a40f24405b3e493bd23
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,166307342,166307395,-2885.546035614721,0x5f3f3997a8bdf391ba7aeb7e1dcce4592590f39a326c76e13ae21f75c6392f40,0xaca501f09b99a1c7bcdfd100bda0d9b2b2987ea0ba74cf08d0ce48f5845debc4,0x1a337f60b984cf176de9ff0fc61b6b1da9cabfab
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,142339595,142339656,-131.609,0x904d3d92ead6117e7c0ffc3a8c4bbb9108d6f31146ddcc945bd64c76eb24f39d,0xbfcf77ccbb9ac7611ad0f8fcbe79bb384a29721b70bfb1d3e40ba0c13d1da446,0xa9d32c206f1b70623918212c40837b599c108a42
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,165356973,165357029,-9867.29256,0xe9c4509b3cf560c114a93e78b240e01dd7c057d08c5dfb25bf77ada754e4ae51,0x064d556f5343c1ca4d34b07a961a9b2e832a0e50b4c2765f1304e249e53f7a7e,0xf9e8b13103bb8e1237fd1823f743e61763cb753b
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,142688686,142688730,-50.641725280784804,0x2efb600e2e5fb9aaacb40a14d1fbc35a126fb8b11047d368a1d61446f2cc2e10,0x6c886f93b9793a963c5daa12f5eea752d8b5ffbe7a18d1d6b49e66aae754590f,0xeb7a47312fe0afd53d94995e42425f551cb61a55
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,142688686,142688730,-50.641725280784804,0x2efb600e2e5fb9aaacb40a14d1fbc35a126fb8b11047d368a1d61446f2cc2e10,0x6c886f93b9793a963c5daa12f5eea752d8b5ffbe7a18d1d6b49e66aae754590f,0xeb7a47312fe0afd53d94995e42425f551cb61a55
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,142705764,142705806,-4.33233777150098,0x7497ee294a7041eb7a38cdf3c3950417ec8e18829beca15b52f74e31b4cbc04e,0x56ad59b6401f33f8904044fd26683be5f4596d45287321326d6f5dfb129ecb4f,0x28b778de17b091fca448b46a18758966234109fc
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,142705764,142705806,-4.33233777150098,0x7497ee294a7041eb7a38cdf3c3950417ec8e18829beca15b52f74e31b4cbc04e,0x56ad59b6401f33f8904044fd26683be5f4596d45287321326d6f5dfb129ecb4f,0x28b778de17b091fca448b46a18758966234109fc
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,173880331,173880388,-14050.812705370001,0xf89498050295e5c39e73883b75cd59716f030b3f6d400b4c2fcbf1877c89aa19,0xa2d13516fee883ea7030cf71c0b53d3c44e301856fee1c00cce830116c390e78,0xc3e116ed9604c75564f7ef14790955e6ab5411b5
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,142470474,142470610,-0.7317213573823075,0x13791ca5014b0edb24e01b35b001b999c515aca7af2e75d46f3c6af8af48c43d,0xb183c9d76dd3c2c145e7f29d7b23740263d10c521e6d7d05f83860559cef8ebe,0x9cbbd3c8d4beb3ee45826b26a1245490b6dae8ab
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,166257840,166257896,-650.16,0x647f0f184669a929be704e4f7d99c2cad419971687303c5989cf40551266f6c5,0x9b248a2f8a27ceac3ba05f0ae4a07d5688a3ab839abf32b33c3487b90e4e6db9,0x0f7429e19cbeeb3e8c549d2884e78be77eb2519d
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,166714083,166714141,-2391.73371591973,0x63c157fd4e96feb6b37ae3ac8f07a8d25362997fe54f75951bfee4c543e47a5b,0x47ea1a3ec18d95c57d853c42cf6f93654f9400321e14b714a72cf64d39e872f5,0x7736eef42a4e3a6b94205bad14b042f120d8e77a
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,144269612,144320533,-984.7284411669154,0xad4247641c249aed490c79a4ddd961fb88e2a7ff0a90652ef6da7a5b7f3c299a,0xbab410efcbd739d94d7690e18f454997b96a19325b41092076a6174707dd0ac5,0xd4ef4fa215b77e3b33b8ed255d3e855c66c5a011
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,144269612,144320533,-984.7284411669154,0xad4247641c249aed490c79a4ddd961fb88e2a7ff0a90652ef6da7a5b7f3c299a,0xbab410efcbd739d94d7690e18f454997b96a19325b41092076a6174707dd0ac5,0xd4ef4fa215b77e3b33b8ed255d3e855c66c5a011
0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,166900370,166900424,-856.003674191,0x8765ed7cfded9b842dada3b13349f61ad9668b51e8d0b0a7f286b552739ed1f9,0x246fa7dca6a4ee791085e521b912be3830da98d27e888946f2acc01fb9695b51,0xf58068edbcd3965664da58cfcb92e361e5525983
